Prompt,GPT-4,Label
"Complete the text from 'The God Of Small Things': 

She lay in it in her yellow Crimplene bell-bottoms with her hair in a ribbon and her Made-in-England go-go bag that she loved. Her face was pale and as","smooth as marble, yet warm to the touch. Her eyes, half-closed, were a deep, mesmerizing brown, framed by long, dark lashes that fluttered slightly as she dreamed. Her lips, slightly parted, were the color of ripe cherries, a stark contrast to her pale complexion. Her chest rose and fell gently with each breath she took, the only sign of life in her otherwise still form. She was a picture of serene beauty, a sight to behold. Yet, there was a certain sadness in her expression, a hint of melancholy that seemed to suggest a world of small things that weighed heavily on her heart.",0
"Complete the text from 'The Satanic Verses': 

‘To be born again,’ sang Gibreel Farishta tumbling from the heavens, ‘first you have to die. Ho ji! Ho ji! To land upon the",bosomy,0
"Complete the text from 'Eleanor Oliphant Is Completely Fine': 

Janey was planning a short engagement, she'd simpered, and so, of course, the inevitable collection for the wedding present would soon follow. Of all the compulsory","social interactions, Eleanor found these office collections to be the most tedious. It wasn't that she was ungenerous, it was just that she found the whole process of group-gift-giving to be unnecessarily complicated and impersonal. She would much rather give a thoughtful, individual gift, but that was not the done thing, apparently.",0
"Complete the text from 'And Then There Were None': 

Ten little Indian boys went out to dine; One choked his little self and then there were nine.
Nine little Indian boys sat up very late;","One overslept himself and then there were eight.
Eight little Indian boys traveling in Devon; One said he'd stay there and then there were seven.
Seven little Indian boys chopping up sticks; One chopped himself in halves and then there were six.
Six little Indian boys playing with a hive; A bumblebee stung one and then there were five.
Five little Indian boys going in for law; One got in Chancery and then there were four.
Four little Indian boys going out to sea; A red herring swallowed one and then there were three.
Three little Indian boys walking in the zoo; A big bear hugged one and then there were two.
Two little Indian boys sitting in the sun; One got frizzled up and then there was one.
One little Indian boy left all alone; He went out and hanged himself and then there were none.",1
"Complete the text from 'Angels and Demons': 

Lieutenant Chatrand: I don’t understand this omnipotent-benevolent thing.
Camerlengo Carlo Ventresca: You are confused because the Bible describes God as an omnipotent and benevolent deity.
Lieutenant Chatrand: Exactly.
Camerlengo Carlo Ventresca: Omnipotent-","benevolent means God is all-powerful and all-good. He has the power to do anything and everything, and whatever He does is for the ultimate good. It's a concept that can be difficult to grasp, especially when we see suffering and evil in the world. But it's important to remember that our understanding is limited, and we may not always see the bigger picture.",0
"Complete the text from 'Fahrenheit 451': 

The books are to remind us what asses and fool we are. They're Caeser's praetorian guard, whispering as the parade roars down the avenue, ","""Remember, Caeser, thou art mortal."" Most of us can't rush around, talk to everyone, know all the cities of the world, we haven't time, money or that many friends. The things you're looking for, Montag, are in the world, but the only way the average chap will ever see ninety-nine percent of them is in a book.",1
"Complete the text from 'Lord of the Flies': 

And in the middle of them, with filthy body, matted hair, and unwiped nose, ","Ralph wept for the end of innocence, the darkness of man's heart, and the fall through the air of the true, wise friend called Piggy.",1
"Complete the text from 'The Titan's Curse': 

Grover was sniffing the wind, looking nervous. He fished out his acorns and threw them into the sand, then ","began to pace, reading the patterns they made. ""Something's not right,"" he murmured, his eyes darting around the desolate landscape. ""I can feel it in the earth.""",0
"Complete the text from 'The Sea of Monsters': 

The real story of the Fleece: there were these two children of Zeus, Cadmus and Europa, okay? They were about to get offered up as human sacrifices, when they prayed to Zeus to save them. So Zeus","sent a magical golden ram with fleece that glowed like the sun. This ram swooped down from the heavens and carried Cadmus and Europa away, saving them from their grim fate. After their rescue, the ram was sacrificed to Zeus and its golden fleece was hung in a sacred grove, guarded by a fearsome dragon. This fleece, known as the Golden Fleece, was said to possess the power to heal and bring back the dead. And that's the real story of the Fleece.",0
"Complete the text from 'Where the Crawdads Sing': 

She whispered a verse by Amanda Hamilton:

You came again,
blinding my eyes
like the shimmer","of a million fireflies.
You touched my soul,
with your words so bold,
like the whispering wind,
in the night so cold.",0
"Complete the text from 'New Moon': 

Before you, Bella, my life was like a moonless night. Very dark, but there were stars, ","points of light and reason. And then you shot across my sky like a meteor. Suddenly everything was on fire; there was brilliancy, there was beauty. When you were gone, when the meteor had fallen over the horizon, everything went black. Nothing had changed, but my eyes were blinded by the light. I couldn't see the stars anymore. And there was no more reason for anything.",1
"Complete the text from 'The Girl on The Train': 

A tiding of magpies: One for sorrow, two for joy, ","three for a girl, four for a boy, five for silver, six for gold, seven for a secret never to be told.",1
"Complete the text from 'Of Mice and Men': 

George's voice became deeper. He repeated his words rhythmically as though he had said them many times before. 'Guys like us, ","that work on ranches, are the loneliest guys in the world. They got no family. They don't belong no place. They come to a ranch an' work up a stake and then they go inta town and blow their stake, and the first thing you know they're poundin' their tail on some other ranch. They ain't got nothing to look ahead to.'",1
"Complete the text from 'Clockwork Prince': 

Tess, Tess, Tessa.

Was there ever a more beautiful sound than your name? To speak it aloud makes my heart ring like a bell. Strange to imagine that, isn’t it – a heart","ringing like a bell? But when you touch me, that's what it is like: as if my heart is waking up and beginning to sing. I never thought I would hear such a beautiful melody. It is a song only you could awaken. 

Your name is the first thing I think of when I wake up in the morning, and the last thing that slips from my lips before I fall asleep at night. It is like a prayer, a chant, a mantra that I repeat over and over again in my head. It is a sweet symphony that plays in the background of my every thought. 

Tess, Tess, Tessa. 

Your name is a promise, a vow. It is the embodiment of everything I hold dear. It is a whisper in the wind, a sigh in the silence, a beacon in the darkness. It is the echo of my past, the chorus of my present, and the melody of my future. 

Tess, Tess, Tessa. 

Your name is my strength, my solace, my salvation. It is the balm that soothes my troubled soul, the light that guides me through my darkest days. It is the anchor that keeps me grounded, the compass that leads me home. 

Tess, Tess, Tessa. 

Your name is the epitome of beauty, the essence of love, the embodiment of grace. It is the sound of laughter, the rhythm of life, the harmony of the universe. It is the song of my heart, the beat of my pulse, the rhythm of my breath. 

Tess, Tess, Tessa. 

Your name is the poetry of the cosmos, the music of the spheres, the symphony of the stars. It is the melody of the morning, the harmony of the evening, the lullaby of the night. It is the sound that soothes, the rhythm that heals, the melody that uplifts. 

Tess, Tess, Tessa. 

Your name is the sweetest sound I have ever heard, the most beautiful song I have ever sung, the most precious gift I have ever received. It is the key to my heart, the melody of my soul, the rhythm of my life. 

Tess, Tess, Tessa. 

Your name is my everything.",0
"Complete the text from 'The Golden Notebook': 

Ideally, what should be said to every child, repeatedly, throughout his or her school life is something like this: 'You are in the process of being indoctrinated. We have not yet evolved","a system of education that is not a system of indoctrination. We are sorry, but it is the best we can do. What you are being taught here is an amalgam of current prejudice and the choices of this particular culture. The slightest look at history will show how impermanent these must be. You are being taught by people who have been able to accommodate themselves to a regime of thought laid down by their predecessors. It is a self-perpetuating system. Those of you who are more robust and individual than others will be encouraged to leave and find ways of educating yourself — educating your own judgements. Those that stay must remember, always, and all the time, that they are being moulded and patterned to fit into the narrow and particular needs of this particular society.'",1
"Complete the text from 'The Notebook': 

Poets often describe love as an emotion that we can't control, one that overwhelms logic and common sense. That's what it was like for me. I didn't","plan on falling in love with you, and I doubt if you planned on falling in love with me. But once we met, it was clear that neither of us could control what was happening to us. We fell in love, despite our differences, and once we did, something rare and beautiful was created. For me, love like that has only happened once, and that's why every minute we spent together has been seared in my memory. I'll never forget a single moment of it.",1
"Complete the text from 'Looking for Alaska': 

We are all going, I thought, and it applies to turtles and turtlenecks, Alaska the girl and","Alaska the place, because nothing can last, not even the earth itself. The Buddha said that suffering was caused by desire, we'd learned, and that the cessation of desire meant the cessation of suffering. When you stopped wishing things wouldn't fall apart, you'd stop suffering when they did.",1
"Complete the text from 'Gone with the Wind': 

“I wish to Heaven I was married,"" she said resentfully as she attacked the yams with loathing. ""I'm tired of everlastingly","being polite and pleasant. I'm tired of acting like I don't have a mind of my own and always deferring to men. I want to be able to speak my mind without worrying about offending someone. I want to be able to make my own decisions and not have them dictated by societal expectations. I want to be my own person, not just someone's wife or daughter or sister. I want to be me.""",0
"Complete the text from 'To Bedlam and Part Way Back': 

Her Kind

I have gone out, a possessed witch,
haunting the black air, braver at night;
dreaming evil,","I have done my hitch
over the plain houses, light by light:
lonely thing, twelve-fingered, out of mind.
A woman like that is not a woman, quite.
I have been her kind.

I have found the warm caves in the woods,
filled them with skillets, carvings, shelves,
closets, silks, innumerable goods;
fixed the suppers for the worms and the elves:
whining, rearranging the disaligned.
A woman like that is misunderstood.
I have been her kind.

I have ridden in your cart, driver,
waved my nude arms at villages going by,
learning the last bright routes, survivor
where your flames still bite my thigh
and my ribs crack where your wheels wind.
A woman like that is not ashamed to die.
I have been her kind.",1
"Complete the text from 'The Wind-Up Bird Chronicle': 

But even so, every now and then I would feel a violent stab of loneliness. The very water I drink, the very air I breathe, would feel like long, sharp needles. The pages of a book in my hands would take on the threatening metallic gleam of","razor blades. I could hear the roots of loneliness creeping through me when the world was hushed at four o'clock in the morning. The nights were long and dark, and they swallowed me whole. I felt like I was sinking into a bottomless abyss, my existence becoming as insignificant as a single grain of sand.",1
